Type                                  Module                      Label             Process   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL2MuonsPPOnAA"          ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3IOPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3OIPPOnAA"   ""                "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltIterL3GlbMuonPPOnAA"    "L2Seeded"        "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3IOPPOnAA"   "L2Seeded"        "MyHLT"   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "hltL3MuonsIterL3OIPPOnAA"   "L2Seeded"        "MyHLT"   
edm::RangeMap<CSCDetId,edm::OwnVector<CSCRecHit2D,edm::ClonePolicy<CSCRecHit2D> >,edm::ClonePolicy<CSCRecHit2D> >    "hltCsc2DRecHits"           ""                "MyHLT"   
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "hltCscSegments"            ""                "MyHLT"   
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "hltDt4DSegments"           ""                "MyHLT"   
edm::RangeMap<DTLayerId,edm::OwnVector<DTRecHit1DPair,edm::ClonePolicy<DTRecHit1DPair> >,edm::ClonePolicy<DTRecHit1DPair> >    "hltDt1DRecHits"            ""                "MyHLT"   
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "hltRpcRecHits"             ""                "MyHLT"   
edm::TriggerResults                   "TriggerResults"            ""                "MyHLT"   
edm::ValueMap<float>                  "hltIter2IterL3FromL1MuonMergedPPOnAA"   "MVAVals"         "MyHLT"   
edm::ValueMap<float>                  "hltIter2IterL3MuonMergedPPOnAA"   "MVAVals"         "MyHLT"   
edm::ValueMap<float>                  "hltIter3IterL3FromL1MuonMergedPPOnAA"   "MVAVals"         "MyHLT"   
edm::ValueMap<float>                  "hltIter3IterL3MuonMergedPPOnAA"   "MVAVals"         "MyHLT"   
edm::ValueMap<float>                  "hltIterL3MuonAndMuonFromL1MergedPPOnAA"   "MVAVals"         "MyHLT"   
edm::ValueMap<float>                  "hltIterL3MuonMergedPPOnAA"   "MVAVals"         "MyHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltIterL3MuonsNoIDPPOnAA"   "combined"        "MyHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltIterL3MuonsNoIDPPOnAA"   "csc"             "MyHLT"   
edm::ValueMap<reco::MuonTimeExtra>    "hltIterL3MuonsNoIDPPOnAA"   "dt"              "MyHLT"   
edmNew::DetSetVector<PixelFEDChannel>    "hltSiPixelDigis"           ""                "MyHLT"   
edmNew::DetSetVector<SiPixelCluster>    "hltSiPixelClustersPPOnAA"   ""                "MyHLT"   
edmNew::DetSetVector<SiPixelRecHit>    "hltSiPixelRecHitsPPOnAA"   ""                "MyHLT"   
edmNew::DetSetVector<SiStripCluster>    "hltHITrackingSiStripRawToClustersFacilityZeroSuppression"   ""                "MyHLT"   
reco::BeamSpot                        "hltOnlineBeamSpot"         ""                "MyHLT"   
vector<BeamSpotOnline>                "hltScalersRawToDigi"       ""                "MyHLT"   
vector<DTuROSFEDData>                 "hltMuonDTDigis"            ""                "MyHLT"   
vector<DcsStatus>                     "hltScalersRawToDigi"       ""                "MyHLT"   
vector<L1AcceptBunchCrossing>         "hltScalersRawToDigi"       ""                "MyHLT"   
vector<L1TriggerScalers>              "hltScalersRawToDigi"       ""                "MyHLT"   
vector<L2MuonTrajectorySeed>          "hltL2MuonSeedsPPOnAA"      ""                "MyHLT"   
vector<Level1TriggerScalers>          "hltScalersRawToDigi"       ""                "MyHLT"   
vector<LumiScalers>                   "hltScalersRawToDigi"       ""                "MyHLT"   
vector<TrackCandidate>                "hltIter0IterL3FromL1MuonCkfTrackCandidatesPPOnAA"   ""                "MyHLT"   
vector<TrackCandidate>                "hltIter0IterL3MuonCkfTrackCandidatesPPOnAA"   ""                "MyHLT"   
vector<TrackCandidate>                "hltIter2IterL3FromL1MuonCkfTrackCandidatesPPOnAA"   ""                "MyHLT"   
vector<TrackCandidate>                "hltIter2IterL3MuonCkfTrackCandidatesPPOnAA"   ""                "MyHLT"   
vector<TrackCandidate>                "hltIter3IterL3FromL1MuonCkfTrackCandidatesPPOnAA"   ""                "MyHLT"   
vector<TrackCandidate>                "hltIter3IterL3MuonCkfTrackCandidatesPPOnAA"   ""                "MyHLT"   
vector<TrackCandidate>                "hltIterL3OITrackCandidatesPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltIter0IterL3FromL1MuonPixelSeedsFromPixelTracksPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltIter0IterL3MuonPixelSeedsFromPixelTracksPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltIter2IterL3FromL1MuonPixelSeedsPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltIter2IterL3MuonPixelSeedsPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltIter3IterL3FromL1MuonPixelSeedsPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltIter3IterL3MuonPixelSeedsPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltIterL3OISeedsFromL2MuonsPPOnAA"   ""                "MyHLT"   
vector<TrajectorySeed>                "hltL2OfflineMuonSeeds"     ""                "MyHLT"   
vector<float>                         "hltIter0IterL3FromL1MuonTrackCutClassifierPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter0IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter0IterL3MuonTrackCutClassifierPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter0IterL3MuonTrackSelectionHighPurityPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter2IterL3FromL1MuonMergedPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter2IterL3FromL1MuonTrackCutClassifierPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter2IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter2IterL3MuonMergedPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter2IterL3MuonTrackCutClassifierPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter2IterL3MuonTrackSelectionHighPurityPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter3IterL3FromL1MuonMergedPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter3IterL3FromL1MuonTrackCutClassifierPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter3IterL3FromL1MuonTrackSelectionHighPurityPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter3IterL3MuonMergedPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter3IterL3MuonTrackCutClassifierPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIter3IterL3MuonTrackSelectionHighPurityPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIterL3MuonAndMuonFromL1MergedPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIterL3MuonMergedPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIterL3MuonTracksPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIterL3OIMuonTrackCutClassifierPPOnAA"   "MVAValues"       "MyHLT"   
vector<float>                         "hltIterL3OIMuonTrackSelectionHighPurityPPOnAA"   "MVAValues"       "MyHLT"   
vector<int>                           "hltIter0IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<int>                           "hltIter0IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<int>                           "hltIter2IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<int>                           "hltIter2IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<int>                           "hltIter3IterL3FromL1MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<int>                           "hltIter3IterL3MuonCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<int>                           "hltIterL3OIMuCtfWithMaterialTracksPPOnAA"   ""                "MyHLT"   
vector<reco::CaloMuon>                "hltIterL3MuonsNoIDPPOnAA"   ""                "MyHLT"   
vector<reco::Muon>                    "hltIterL3MuonsNoIDPPOnAA"   ""                "MyHLT"   
vector<reco::Muon>                    "hltIterL3MuonsPPOnAA"      ""                "MyHLT"   
vector<reco::MuonTrackLinks>          "hltIterL3GlbMuonPPOnAA"    ""                "MyHLT"   
vector<reco::MuonTrackLinks>          "hltIterL3MuonsFromL2LinksCombinationPPOnAA"   ""                "MyHLT"   
vector<reco::MuonTrackLinks>          "hltIterL3OIL3MuonsLinksCombinationPPOnAA"   ""                "MyHLT"   
vector<reco::MuonTrackLinks>          "hltL3MuonsIterL3IOPPOnAA"   ""                "MyHLT"   
vector<reco::MuonTrackLinks>          "hltL3MuonsIterL3LinksPPOnAA"   ""                "MyHLT"   
